-108.1	71.1
-162.1	67.1
-156.1	67.1
-150.1	67.1
-144.1	67.1
-138.1	67.1
-132.1	67.1
-126.1	67.1
-96.1	67.1
-90.1	67.1
-156.1	63.1
-150.1	63.1
-144.1	63.1
-138.1	63.1
-132.1	63.1
-126.1	63.1
-120.1	63.1
-108.1	63.1
-102.1	63.1
-96.1	63.1
-156.1	59.1
-132.1	59.1
-126.1	59.1
-120.1	59.1
-114.1	59.1
-108.1	59.1
-102.1	59.1
-96.1	59.1
-72.1	59.1
-126.1	55.1
-120.1	55.1
-114.1	55.1
-108.1	55.1
-102.1	55.1
-96.1	55.1
-90.1	55.1
-72.1	55.1
-66.1	55.1
-120.1	51.1
-114.1	51.1
-108.1	51.1
-102.1	51.1
-96.1	51.1
-90.1	51.1
-84.1	51.1
-78.1	51.1
-72.1	51.1
-120.1	47.1
-114.1	47.1
-108.1	47.1
-102.1	47.1
-96.1	47.1
-78.1	47.1
-72.1	47.1
-120.1	43.1
-114.1	43.1
-108.1	43.1
-102.1	43.1
-96.1	43.1
-90.1	43.1
-120.1	39.1
-114.1	39.1
-108.1	39.1
-102.1	39.1
-96.1	39.1
-90.1	39.1
-84.1	39.1
-78.1	39.1
-114.1	35.1
-108.1	35.1
-102.1	35.1
-96.1	35.1
-90.1	35.1
-84.1	35.1
-102.1	31.1
-96.1	31.1
